1024 1 M
 -0.948348 -0.334104 -0.688190 -0.198977
 -0.869989 -0.767586 -0.619458 1.259032
 -0.945337 -1.062139 0.183554 0.192269
 -0.389781 -0.917281 -0.072164 -0.813776
 -0.342599 -0.968147 -0.445321 0.898736
 -0.205261 -1.055664 -0.656600 -0.693327
 -0.891447 -0.229498 -0.225220 0.191562
 -0.162370 -0.303190 -0.279980 -0.237770
 -0.039700 -0.618017 0.156570 -1.023867
 -0.016257 -0.335601 -0.778036 0.720334
 -0.942234 -0.228459 -0.368879 -0.122029
 0.058947 0.052599 -0.178240 0.018193
 -0.949681 -0.069345 -0.610761 -2.440005
 -0.674640 -0.920360 -0.034042 1.485935
 -0.372447 -0.958930 -0.470042 -2.485337
 -0.593301 0.142540 0.194000 2.380627
 0.100019 0.148693 -0.196605 0.712749
 -0.333176 -0.205133 -0.369641 -0.722385
 -0.534547 -0.722264 -0.798929 -0.339662
 -0.274951 -0.481158 -0.981793 -1.252362
 -0.251160 -0.939611 -0.223896 -0.567566
 0.071108 0.045638 0.157467 0.188351
 0.157921 -0.147985 -0.800934 -1.300123
 0.005419 0.028802 -0.442214 -0.938952
 0.006768 -1.097556 -0.426607 2.997719
 -0.982747 -0.947703 -0.472698 -0.318420
 0.083669 -0.480050 -0.140448 0.527325
 -0.901887 -0.508523 -0.842266 1.300024
 0.062345 -0.262769 -0.507359 -0.362357
 -0.549405 -0.086000 -0.044813 0.332962
 -0.446721 0.019214 -0.597552 -1.374516
 -0.868458 0.093512 -0.709753 -0.829734
 -0.584376 -0.622372 -0.088191 -0.672490
 -0.323108 -0.963189 -0.026620 0.349503
 -0.944146 -0.847197 -0.929140 -0.013814
 -0.472915 0.198187 -0.175477 0.094862
 -0.246949 -0.003132 -0.917189 1.198418
 -0.575237 -0.059901 -0.030184 -1.440041
 -0.718841 -0.438310 -0.625790 0.242262
 -0.513260 -0.714818 -0.822991 0.290253
 -0.337648 0.187993 0.040592 0.716941
 -0.259303 -0.391622 -0.865134 -1.657598
 -0.723024 -0.997633 -0.651063 -0.103481
 -0.816314 -0.961794 -0.144163 -0.456026
 0.022732 -0.648218 -0.777918 1.172804
 -0.241025 -0.166368 -0.883388 -0.419262
 -0.727679 -0.899412 -0.898293 -1.047243
 -0.322572 -0.951731 0.096920 -1.045517
 -0.249278 0.157011 -0.402343 0.925025
 -0.564148 -0.254951 -0.322092 -0.956132
 0.077882 -0.176801 -0.123945 -2.024429
 -0.360630 -0.147751 -0.669814 -1.154717
 -0.299725 -0.230643 -0.201259 1.015000
 -0.367326 -0.066258 -0.154256 -0.042435
 -1.075918 -0.541787 -0.339026 -0.584336
 -0.673273 -0.979490 -0.591321 -0.840923
 -0.992765 0.053162 -0.912835 -0.202821
 -0.902944 0.068295 0.051892 1.106056
 -0.673757 -0.446291 -0.463364 -0.600168
 -0.936079 0.002486 -0.190257 0.240674
 -0.659924 0.067508 0.054202 -0.311753
 -0.139783 0.011070 -1.022317 -1.041775
 -0.421213 -0.915418 -0.892316 -1.288165
 -0.435534 -0.441618 -0.085277 0.254793
 -0.724742 -0.490589 -0.218686 -1.773215
 0.062910 0.004790 -0.588566 0.304579
 -0.403279 -0.120581 -0.248810 0.195880
 -0.189661 -0.181591 -0.680819 -1.196806
 -0.296383 -1.022056 -0.090691 1.383141
 -0.108525 -1.042681 0.155379 0.179697
 -0.610895 -0.016935 -0.466040 0.621863
 -0.177423 0.101281 -0.485643 1.554707
 -0.416669 -0.362452 0.094288 -0.698702
 -0.931785 -0.735405 -0.362262 -0.314433
 -0.605794 -0.311101 -0.917003 -1.480951
 -0.315649 -0.592408 -0.142786 1.544458
 -0.765562 -0.259838 -0.851601 1.271142
 -0.996885 0.096065 -0.572627 -0.510295
 0.073314 -0.561204 -0.964250 0.313530
 0.158678 -0.306148 -0.100306 -0.294931
 0.085232 -0.337273 -0.835382 -0.857833
 -0.173130 0.015713 -0.192371 -0.042110
 -0.868491 -0.370041 0.030798 0.376547
 -0.797391 -0.724210 0.035262 2.149076
 0.170912 -0.358150 -0.279214 -0.086486
 -0.801775 -0.289922 -0.576465 -0.600563
 -0.761002 -0.277468 -0.728144 0.048684
 -1.065834 -0.328612 0.081429 2.245198
 -0.689036 -0.771554 0.187292 1.060587
 -0.342705 -0.694876 -0.736539 -1.580517
 -0.213445 -0.973336 -0.684164 -0.960603
 -0.303337 -0.257470 -0.116686 0.948515
 -0.223491 0.135387 -1.038989 -2.021558
 0.039523 -0.113665 -0.749264 -1.093488
 -0.343753 -0.297664 -0.261747 0.606051
 -0.580118 -0.960033 -0.089290 -1.918031
 -0.635199 -0.749523 -0.029548 0.913415
 -0.815779 -1.004401 -0.430441 -0.198029
 -1.056210 -0.205914 0.088463 -1.711473
 -0.844206 -0.456538 -0.944395 -0.724699
 -0.068126 -0.423432 -0.309975 -0.040915
 -0.785768 -0.694771 -0.058375 0.580933
 0.073329 -0.720302 -0.068406 -0.823029
 -0.306654 -0.962968 -0.349575 -0.725106
 -0.992099 0.001057 -0.878014 -0.326867
 -0.872320 -0.887500 -0.039284 0.465446
 -0.207929 -0.014736 -1.013515 0.552071
 0.077527 -0.353940 -0.799164 0.889728
 -0.396240 -0.630631 -0.474313 0.039248
 -0.341708 -0.848300 -1.007661 0.297335
 -0.737017 0.021862 -0.426067 -0.977758
 0.140789 -0.459598 -0.200283 0.320205
 0.017459 -1.055342 -1.052377 0.780337
 -0.619097 0.037782 -1.083866 0.750455
 -0.241314 -0.577463 -0.647427 -1.457617
 -0.806999 -0.439570 -0.269435 0.329678
 -0.499679 -0.351417 0.041484 -0.123617
 -0.933092 -1.078698 -1.062526 -0.029750
 -0.234769 -0.401716 -0.506312 0.861454
 -1.043706 -0.448472 -0.136919 0.898460
 -0.406633 -0.102501 0.159603 0.020143
 0.119288 -0.827429 0.013328 -0.202513
 -0.152502 -0.180132 -0.849089 -0.569757
 -0.493775 -0.457463 -0.935369 -1.787256
 -0.145237 -0.389413 -0.720793 -0.144539
 0.126670 0.128023 -0.688521 0.650277
 -0.837510 -0.014302 -0.751823 -0.412882
 -0.153638 -0.434235 -0.198805 -0.532312
 -0.004904 -0.479938 0.073483 -0.431232
 -0.810809 -0.422083 -0.484565 -0.734710
 0.066739 -0.798285 -0.032436 -0.088252
 -1.044597 -0.301404 -0.095442 3.240468
 -0.261809 0.028585 -0.586255 0.029677
 -0.727649 0.136369 -0.766849 2.622351
 -0.516728 -0.392124 -0.022044 -0.695496
 -1.033875 -0.414049 -0.063244 0.552780
 -0.009131 -0.656483 -0.337772 -1.794206
 -0.210599 -1.025938 -0.040336 -0.961006
 -0.143791 0.193167 -0.015611 1.636085
 -0.573198 -0.072054 0.028760 0.491360
 -0.249841 -0.665609 -0.683296 -1.568812
 -1.058010 -0.431496 -0.463921 -0.022824
 -0.527790 -0.522771 -0.367452 -0.054158
 -0.994849 -0.598541 -0.510247 0.338866
 -0.118954 -0.023441 0.008345 -0.604931
 -0.316011 -0.038601 -0.601657 -0.539952
 -0.979386 -0.780598 -0.972080 1.241539
 -0.387975 -1.036706 0.099269 -0.035082
 -0.835883 -0.274253 0.065951 0.625369
 -0.420704 -0.944824 0.113944 -0.725102
 -0.506658 -0.356173 -0.654131 -0.770222
 -0.961115 -0.443172 -0.273655 0.914012
 -0.063590 -0.590082 -0.321039 -0.019070
 -0.809573 -0.465353 -0.023899 0.775618
 -0.092777 0.049255 -0.722621 -0.617329
 -0.917319 -0.939262 -1.035847 -0.799913
 -1.044585 0.118514 -1.060865 -0.185661
 0.065479 -1.075837 -0.431290 -0.303940
 -0.004046 -0.462534 -0.188039 0.303638
 -0.842364 -0.362640 -0.265050 1.132441
 0.097542 -0.772741 -0.753819 -0.280509
 -0.750576 -0.289713 -0.943891 1.301897
 -0.285480 -0.852086 -0.605137 -0.381418
 -0.831958 -0.328990 -0.958945 -0.572666
 -0.427173 -0.621983 -0.063428 -0.371443
 -0.182651 -1.036912 -1.005516 1.085431
 -0.944785 -0.532395 -0.589150 1.253586
 -0.368837 -0.829038 -0.219310 -1.083788
 -0.394327 0.086890 -0.287379 0.301826
 -0.085154 -0.499888 -0.114673 -2.568627
 -0.496721 -0.623769 0.014908 -2.196638
 -0.513786 -0.110168 -0.217838 -1.211159
 -0.343318 -0.146985 -0.188627 -0.848838
 -0.913868 -1.091125 -0.097620 -1.940106
 -0.497598 -0.626099 -0.164684 -0.620946
 -0.153433 0.155102 -0.902228 -0.522467
 -0.004744 0.039324 -0.260681 -1.704749
 -0.826140 -0.118530 -0.865806 0.696959
 -0.121842 -0.210102 0.001718 -0.865848
 -0.115275 -0.126788 -0.258936 -0.049630
 0.001896 -0.739947 -0.734300 -1.453064
 0.123058 -0.256768 0.138138 -1.006231
 -0.932996 -0.660615 -0.273105 1.152529
 -0.041049 -0.502519 -0.594916 -1.685175
 -0.170605 -0.457336 -0.428341 0.871471
 -0.915089 0.069315 -1.060490 0.243330
 -0.439849 0.081901 -0.642179 -1.177616
 -1.049344 -0.643475 -0.436007 -2.029684
 -0.281213 0.029193 -0.094580 -1.772611
 -0.028127 -0.686223 -0.304240 0.148007
 -0.475218 -1.077070 -0.623455 -1.682017
 -0.073154 0.141189 -0.312336 -0.185390
 -0.719030 -0.513500 -0.980148 3.129724
 -0.438898 -0.725465 -0.993999 0.058073
 -0.530406 -0.831168 0.009385 1.628904
 -0.711267 -0.223034 -0.121014 -0.741269
 -0.166369 -0.140193 -0.618694 -0.055082
 -0.827328 -0.832439 -0.700861 0.223091
 -0.391087 -0.842971 -0.543828 1.767196
 0.110108 -0.392668 -0.655994 0.596773
 -0.493992 -0.789121 -0.811273 0.582994
 0.107353 -0.489097 -0.998728 -0.233879
 -0.166905 0.127859 -0.034950 -0.137991
 -0.684814 -0.648715 -0.948398 0.602730
 0.047835 0.078960 0.028086 -1.896590
 -0.826645 -0.981478 -0.991604 -0.542477
 -0.396825 -0.368953 -0.354112 1.651323
 -1.020516 -0.858579 0.174047 1.628332
 -0.337222 -0.560585 -0.068541 -0.147022
 0.096018 -0.317624 0.091131 -0.011183
 -0.783976 -1.096524 -0.537264 -0.769789
 -0.027642 -0.801960 -0.956394 0.248666
 -1.037676 -1.099046 -0.889631 0.657568
 -0.143056 -0.068606 -0.432758 1.116022
 -0.636103 0.145944 -0.289234 0.159821
 0.199588 -0.177040 -0.021929 0.528266
 -0.769367 0.064508 0.132107 0.361685
 -0.234433 0.111259 -0.861652 0.399763
 -1.034066 -0.104886 0.133598 0.489671
 -0.294392 -1.018206 -0.701821 0.330754
 -0.896259 0.199277 -1.023873 -0.028479
 -0.348661 -0.199828 0.013590 2.033970
 -0.367355 -0.494547 -0.550392 -0.681424
 -0.554768 -0.970457 0.070752 -0.336455
 -0.937486 -0.662194 -0.096455 -1.136575
 -0.614843 0.018159 -0.377319 0.689644
 -0.019429 -0.152975 0.060480 1.880392
 -0.471365 -0.116929 -0.482205 1.209786
 -0.794360 -0.875819 -0.647386 0.417588
 -1.081288 -1.093493 0.162796 0.271901
 -0.367046 -0.125817 -0.044201 0.289036
 -0.644146 -0.411243 -1.031174 -0.700634
 -0.756379 -0.508048 -0.568640 -0.108422
 -0.270678 -0.284917 -0.765295 -0.842183
 -0.991964 -0.793204 -0.915903 -1.090925
 -0.884121 -0.572591 -0.478714 0.164444
 -0.982739 -0.652816 -0.326846 0.021406
 -0.736315 -0.445076 -0.151649 1.185020
 -0.187192 0.055530 -0.913938 -0.050694
 -0.713543 -0.352231 0.013455 0.791851
 -0.503041 -0.726568 0.114559 -1.787827
 -0.788595 -0.636770 -0.055355 -0.037236
 -0.599391 0.131720 -0.282061 -0.254807
 0.178095 -0.235333 -0.604938 -1.883979
 -0.430224 0.074276 -0.371345 0.102839
 0.003909 -0.363422 -1.039124 0.954164
 -1.022827 0.085630 -0.275316 -0.225802
 -0.650881 -0.079712 0.126832 1.351092
 -0.681610 -0.111586 -0.225176 -0.580836
 0.134499 -0.995436 -1.077484 -1.021418
 -0.122830 -0.504514 -0.061427 0.140371
 -0.922397 -0.975686 -0.060494 -0.238169
 -0.409279 -0.789652 -0.363982 1.612108
 -0.677233 -0.252480 -0.065440 0.739412
 -0.912243 -0.217005 -0.453418 -0.855763
 -1.012227 -0.556496 -0.530857 -0.313480
 0.051669 -0.826880 -0.496989 -0.098771
 -1.042308 -0.139449 -0.296405 0.625959
 -0.522199 -0.018054 0.060038 0.423452
 -0.770620 -0.852317 -0.510538 1.263616
 -0.317275 -0.926685 -0.006905 0.961668
 -0.187467 -0.701415 0.064852 -0.332174
 -1.070968 0.071543 0.153711 -0.337656
 -0.852844 -0.195283 -0.604872 -1.625505
 -0.983004 -0.374701 -0.189771 -0.701943
 -0.173184 -0.246119 -0.747078 1.905467
 -0.605090 -0.571832 -1.027728 0.409993
 -0.010069 -1.033878 -0.061910 0.240433
 -0.456309 -0.205894 -0.224492 -0.056821
 0.166310 -1.003303 -0.890076 -1.178294
 0.039563 -0.272782 -0.140110 1.438600
 -0.341673 -0.030913 -0.823656 0.798591
 -0.114866 -0.493138 -0.024239 -0.854100
 0.041204 0.103913 -0.114579 0.008640
 -0.410694 0.066771 -0.690722 -0.621698
 -0.884626 -0.972920 -1.038780 -0.975426
 0.076371 -0.792093 -0.275239 -2.194738
 -0.859037 -0.690983 -1.081397 0.060830
 -0.073315 -0.688261 -0.125662 1.386862
 -0.155692 -0.714540 -0.933374 -0.339407
 -0.258199 -0.169101 -0.903627 -0.517862
 -0.485047 -0.419435 0.108346 -0.082420
 0.122869 -0.991127 -0.817965 0.253995
 0.126983 -1.062709 -0.467398 0.071646
 0.138163 -0.206929 -1.055316 1.087200
 -0.200447 -0.312547 -0.700110 0.450602
 -0.368165 -1.022752 -0.217135 0.188716
 -0.330385 -1.068118 0.015725 0.454317
 -0.235227 -0.713186 -0.985581 -1.428995
 -0.395391 -0.883057 -0.260014 -0.328582
 -0.099613 -0.163913 0.038011 -0.893278
 -0.256392 -0.320791 -0.165737 0.268958
 0.017638 -0.596473 -0.146727 1.184423
 -1.080178 -0.176486 -0.850788 -0.679066
 -1.036570 -0.582536 -0.102458 -0.748083
 -0.296880 -0.821068 -1.014741 -1.519639
 -0.479099 -0.955435 0.187981 -0.490185
 -0.661868 -0.701041 -0.768265 0.792505
 -0.141394 0.146878 -0.204260 0.079791
 -0.072389 0.092455 -0.402617 0.741413
 -0.396209 -0.444705 0.155198 0.406968
 -0.343276 -0.381453 -0.505602 -0.161423
 -1.019131 -0.543578 -0.504673 1.050981
 -0.852336 -0.287830 -0.290196 0.876673
 -0.788966 -0.178141 -0.443930 0.713562
 0.138774 -0.222092 -0.725899 -0.322430
 0.119237 -0.638988 -0.286309 -0.798883
 -0.712283 -0.033639 -0.435987 1.356577
 -0.942172 0.090800 -0.229081 0.995874
 -0.879392 0.139514 -0.759356 -1.555403
 -0.467671 0.138880 -0.928713 0.295207
 -0.101154 -0.184711 0.070929 -1.138026
 -0.564548 -0.937152 -1.006185 -0.221238
 0.082204 -0.811169 -0.357593 1.199164
 -0.560237 0.043203 -0.439288 2.008716
 -0.375365 0.175447 -0.331581 1.118214
 -0.756715 -0.203486 -0.925765 -0.150056
 -0.129364 -1.099244 -0.948943 1.792798
 -0.239351 -0.418249 -0.123965 -1.071583
 0.162994 -0.478053 -0.530529 0.590177
 -0.339260 -0.188577 -0.712475 0.319994
 -1.061574 -0.323871 -0.063917 -1.011829
 -0.290638 -0.157425 -0.827164 0.322148
 -0.547304 -0.387424 0.128310 1.962835
 -1.019120 -0.221929 -0.514970 0.228237
 -1.038547 -0.521635 -0.269152 0.104039
 -0.112932 -0.961242 -0.325365 -0.417096
 -0.121034 -0.299091 -0.329003 -0.174529
 -0.212132 -0.350436 0.025232 2.161497
 0.156423 -1.094309 -0.206355 -0.938310
 -0.428037 -0.726409 -0.575876 0.063067
 -0.817650 0.123976 0.194130 1.087095
 -0.856681 -0.196425 -0.287070 -0.924430
 -0.469682 -0.051934 -0.914547 0.004151
 -0.632278 -0.696534 -0.773026 1.129386
 -0.297937 -0.069655 -0.649157 -1.734176
 -0.362619 -0.890446 0.127735 -0.130785
 -0.090985 -0.882294 -0.598500 -0.148622
 -0.626320 -0.616052 -0.335667 -0.324310
 -0.902738 -0.873985 -0.831455 0.407543
 -0.631924 -0.720189 -1.051584 -1.282901
 -0.463952 0.199725 -0.969857 -0.077872
 -0.626848 -0.269502 -1.061938 2.575643
 0.171873 0.013619 -0.437745 1.445046
 -0.133433 -0.847457 -0.244946 0.533320
 0.120722 -0.233487 -0.254025 1.532162
 0.096123 -0.449303 -0.906754 1.257144
 -0.905319 0.115909 -0.564203 0.819300
 -0.518948 -0.958089 -0.846191 -0.684827
 0.150944 -0.713730 -0.142837 -1.129672
 -0.883137 0.018303 -0.176741 -1.229249
 -0.205663 -0.082981 -1.046110 0.509856
 -0.970957 -1.041810 -0.694702 0.285642
 -0.830102 -0.807845 -0.011187 0.172873
 -0.225543 -0.615911 -0.192687 0.125838
 -1.034348 -0.314822 0.195747 -1.112050
 -0.296296 -0.115699 -0.041673 0.387907
 -0.865464 0.055991 0.029935 -0.958386
 -0.464818 -0.967670 -0.853706 -1.018387
 -0.649616 -0.228330 -1.057734 0.413487
 -0.654145 0.198224 -0.419276 -0.445810
 -0.039083 -0.012988 -0.550816 -1.074393
 -0.823763 -0.609120 -0.455085 -1.152054
 -0.020395 -0.423739 0.062792 0.454234
 -1.048621 0.082888 -0.380177 -0.951460
 0.116132 -0.603512 -0.334041 2.099613
 -0.308127 0.142088 -0.323429 0.863296
 -0.640010 -0.170463 0.047161 -0.492802
 -0.853281 -0.622625 -1.044541 0.283940
 -1.047779 -1.021947 -0.345880 -0.134669
 0.042061 -0.839886 -0.761893 -2.089192
 -0.491546 -1.079199 -0.150350 0.242573
 -0.676915 -0.326211 -0.452006 -0.387205
 -0.398119 -0.543560 -0.183931 -0.570126
 -0.343603 -0.244213 -0.134246 1.762736
 -1.088158 -0.179871 -0.221611 -0.362808
 0.088621 -1.058151 -0.150670 0.210561
 -0.831947 -0.386599 -0.762545 1.696038
 -0.463088 -0.976621 -0.857425 -0.670352
 -0.760270 -0.567365 -0.138638 -2.190972
 -0.955147 -0.234023 -0.166803 0.926460
 -0.991431 -0.147732 -0.580378 -1.750746
 -0.347165 0.143390 -0.070108 -2.642775
 0.082535 -0.956181 -0.217999 -0.363560
 -0.275070 -0.161029 -1.037555 2.064045
 -0.605247 -0.456621 -0.348555 0.217380
 -0.555610 0.191233 0.026095 0.904970
 -0.732723 -1.079192 -0.702628 -1.383979
 -0.778060 -0.760589 -0.161093 0.028404
 -0.023996 -1.066601 0.078744 -1.459500
 -0.914359 -0.178818 -1.055520 0.432336
 -0.412522 -0.947213 -0.720169 -0.141154
 -0.943415 -0.685024 -0.967089 1.114390
 0.014777 -0.408709 0.016898 0.448572
 -0.557682 0.016924 -0.351616 0.579112
 -0.547785 -0.211667 -0.321127 -1.360467
 -0.500772 -0.689336 -0.774643 0.648113
 -1.078067 -0.820158 -0.213838 0.498048
 -0.488718 -0.959046 -0.301483 0.534822
 -0.946753 -0.253965 -0.186135 -1.664896
 -0.523302 -0.764048 -0.335487 -0.539205
 -0.767927 -1.097522 -0.740697 0.600983
 -0.436926 -0.121342 -0.672120 -0.591430
 0.107983 -0.636939 -0.835088 0.767507
 -0.665574 0.111663 -0.356751 0.196178
 -0.599596 -0.510089 -0.066321 0.291180
 -0.453148 0.072454 0.060622 -0.306124
 -0.451873 0.031972 -0.329273 -1.123960
 0.053406 -0.121147 -0.174724 0.369466
 -1.032157 -0.511415 -0.148336 -0.628121
 -0.031298 -0.087311 -0.379276 -0.153088
 0.164798 -0.250073 0.092077 0.104338
 -0.535502 -0.030779 -0.396961 -0.746095
 0.161283 -0.476338 -0.121181 0.388829
 0.185266 -0.823162 -0.606493 0.150201
 0.124371 -0.625971 -0.499880 -0.064012
 -0.221348 -0.800997 -0.308248 -1.428350
 -0.510388 -0.783834 -0.847686 1.259590
 -1.044177 -0.449765 -0.677896 1.165906
 -0.182505 -0.230188 -0.550558 -0.170793
 -0.201452 -0.062271 -1.027710 -0.559013
 0.119063 0.132134 -0.630382 -0.084073
 -0.033007 -0.534633 -0.854218 0.645035
 -0.446930 -0.644942 -0.776425 -0.799215
 0.012770 -0.055888 -0.560162 -1.149710
 -0.344452 -0.593722 -0.073290 0.209153
 -0.106987 -0.060008 -0.233781 -0.541825
 -0.446427 -0.995401 -0.030067 0.179684
 -0.925217 -1.043252 -0.030407 0.995449
 -0.873877 -0.107617 0.065220 -0.039377
 0.106716 -0.967700 -0.720812 -0.271563
 -0.401780 -0.469300 -0.838428 0.066611
 -0.195212 -0.449462 -0.741022 -0.830614
 -0.829103 -0.286393 -0.581847 0.042123
 -0.084206 0.036290 0.016411 -1.647072
 -0.703277 -0.322507 -0.577356 -1.193628
 -1.003057 -0.773668 -0.300752 0.306472
 -0.338089 -0.041630 -0.825352 -0.212434
 0.129844 -0.977696 -0.316187 -0.414494
 -1.039814 -0.530621 0.140898 0.340798
 -0.790838 -0.659417 -0.304103 -0.188074
 -0.766360 -0.285987 -0.681401 -0.060867
 0.074348 -0.405524 -0.273559 -0.404363
